project_name,version,class_name,wmc,rfc,loc,max_cc,avg_cc,cbo,ca,ce,ic,cbm,lcom,lcom3,dit,noc,mfa,npm,dam,moa,cam,amc,bug
cargotracker,3.1-SNAPSHOT,org.eclipse.pathfinder.api.TransitPath,3,3,35,1,1.0,0,2,0,0,0,3,1.0,0,0,0.0,3,1.0,1,0,11.666666666666666,3
cargotracker,3.1-SNAPSHOT,org.eclipse.pathfinder.api.TransitEdge,11,11,89,1,1.0,0,2,0,0,0,55,1.0,0,0,0.0,11,1.0,5,0.25,8.090909090909092,1
cargotracker,3.1-SNAPSHOT,org.eclipse.pathfinder.api.GraphTraversalService,4,18,100,3,1.5,14,1,0,0,5,6,1.0,0,0,0.0,1,1.0,3,0.0,25.0,4
cargotracker,3.1-SNAPSHOT,org.eclipse.pathfinder.internal.GraphDao,2,4,40,6,3.5,2,1,0,0,0,1,1.0,0,0,0.0,2,1.0,1,0,20.0,3
cargotracker,3.1-SNAPSHOT,org.eclipse.cargotracker.interfaces.FacesConfiguration,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
cargotracker,3.1-SNAPSHOT,org.eclipse.cargotracker.interfaces.Coordinates,2,2,24,1,1.0,0,2,0,0,0,1,1.0,0,0,0.0,2,1.0,0,0,12.0,0
cargotracker,3.1-SNAPSHOT,org.eclipse.cargotracker.interfaces.CoordinatesFactory,3,7,69,1,1.0,4,2,0,0,2,3,1.0,0,0,0.0,3,1.0,1,0.0,23.0,1
cargotracker,3.1-SNAPSHOT,org.eclipse.cargotracker.interfaces.handling.HandlingEventRegistrationAttempt,7,7,83,1,1.0,0,6,0,0,0,21,1.0,0,0,0.0,7,1.0,6,0,11.857142857142858,1
cargotracker,3.1-SNAPSHOT,org.eclipse.cargotracker.interfaces.handling.file.FileProcessorJobListener,2,3,26,1,1.0,1,0,0,0,0,1,1.0,0,0,0.0,2,1.0,1,0,13.0,4
cargotracker,3.1-SNAPSHOT,org.eclipse.cargotracker.interfaces.handling.file.EventItemReader,4,27,155,8,4.25,23,0,1,1,2,6,1.0,1,0,0.0,3,1.0,5,0.0,38.75,5
cargotracker,3.1-SNAPSHOT,org.eclipse.cargotracker.interfaces.handling.file.UploadDirectoryScanner,1,3,27,1,1.0,2,0,0,0,0,0,0,0,0,0.0,1,0,0,0,27.0,2
cargotracker,3.1-SNAPSHOT,org.eclipse.cargotracker.interfaces.handling.file.EventFilesCheckpoint,5,7,45,2,1.4,2,0,0,0,0,10,1.0,0,0,0.0,5,1.0,1,0.0,9.0,1
cargotracker,3.1-SNAPSHOT,org.eclipse.cargotracker.interfaces.handling.file.EventItemWriter,2,20,73,2,1.5,18,0,1,1,0,1,1.0,1,0,0.0,2,1.0,3,0.0,36.5,4
cargotracker,3.1-SNAPSHOT,org.eclipse.cargotracker.interfaces.handling.file.EventLineParseException,1,1,22,1,1.0,0,0,0,1,0,0,0,1,0,0.0,1,1.0,1,0,22.0,1
cargotracker,3.1-SNAPSHOT,org.eclipse.cargotracker.interfaces.handling.file.LineParseExceptionListener,1,10,52,2,2.0,9,0,0,0,0,0,0,0,0,0.0,1,1.0,3,0,52.0,4
cargotracker,3.1-SNAPSHOT,org.eclipse.cargotracker.interfaces.handling.rest.HandlingReportService,1,10,53,2,2.0,9,0,1,0,0,0,0,0,0,0.0,1,1.0,1,0,53.0,3
cargotracker,3.1-SNAPSHOT,org.eclipse.cargotracker.interfaces.handling.rest.HandlingReport,10,10,80,1,1.0,0,0,0,0,0,45,1.0,0,0,0.0,10,1.0,5,1.0,8.0,2
cargotracker,3.1-SNAPSHOT,org.eclipse.cargotracker.interfaces.handling.mobile.EventLogger,20,53,214,3,1.2,33,0,1,0,4,190,1.0,0,0,0.0,19,1.0,13,0.16666666666666666,10.7,6
cargotracker,3.1-SNAPSHOT,org.eclipse.cargotracker.interfaces.tracking.web.Track,5,14,84,2,1.6,9,0,0,0,0,10,1.0,0,0,0.0,5,1.0,5,0,16.8,3
cargotracker,3.1-SNAPSHOT,org.eclipse.cargotracker.interfaces.tracking.web.CargoTrackingViewAdapter,16,45,194,7,1.8125,29,0,2,0,4,120,1.0,0,0,0.0,16,1.0,2,0,12.125,2
cargotracker,3.1-SNAPSHOT,org.eclipse.cargotracker.interfaces.booking.sse.RealtimeCargoTrackingViewAdapter,9,20,86,4,1.3333333333333333,11,0,0,0,12,36,1.0,0,0,0.0,9,1.0,3,0,9.555555555555555,1
cargotracker,3.1-SNAPSHOT,org.eclipse.cargotracker.interfaces.booking.sse.RealtimeCargoTrackingService,5,19,66,1,1.0,14,0,0,0,2,10,1.0,0,0,0.0,4,1.0,4,0.2,13.2,4
cargotracker,3.1-SNAPSHOT,org.eclipse.cargotracker.interfaces.booking.sse.LocationViewAdapter,3,7,27,1,1.0,4,0,2,0,2,3,1.0,0,0,0.0,3,1.0,1,0,9.0,0
cargotracker,3.1-SNAPSHOT,org.eclipse.cargotracker.interfaces.booking.facade.internal.DefaultBookingServiceFacade,10,30,137,2,1.1,20,0,0,0,5,45,1.0,0,0,0.0,10,1.0,9,0.5789473684210527,13.7,3
cargotracker,3.1-SNAPSHOT,org.eclipse.cargotracker.interfaces.booking.facade.internal.assembler.CargoRouteDtoAssembler,1,26,46,1,1.0,25,0,0,0,5,0,0,0,0,0.0,1,1.0,1,0,46.0,4
cargotracker,3.1-SNAPSHOT,org.eclipse.cargotracker.interfaces.booking.facade.internal.assembler.ItineraryCandidateDtoAssembler,3,22,64,2,1.3333333333333333,19,0,0,0,2,3,1.0,0,0,0.0,2,1.0,1,0.0,21.333333333333332,4
cargotracker,3.1-SNAPSHOT,org.eclipse.cargotracker.interfaces.booking.facade.internal.assembler.TrackingEventsDtoAssembler,5,19,52,7,2.2,14,0,0,0,4,10,1.0,0,0,0.0,1,0,0,0.5555555555555556,10.4,3
cargotracker,3.1-SNAPSHOT,org.eclipse.cargotracker.interfaces.booking.facade.internal.assembler.CargoStatusDtoAssembler,4,32,97,7,3.5,28,0,0,0,5,6,1.0,0,0,0.0,1,1.0,1,0.6666666666666666,24.25,4
cargotracker,3.1-SNAPSHOT,org.eclipse.cargotracker.interfaces.booking.facade.internal.assembler.LocationDtoAssembler,2,11,29,1,1.0,9,0,0,0,0,1,1.0,0,0,0.0,2,0,0,0.0,14.5,3
cargotracker,3.1-SNAPSHOT,org.eclipse.cargotracker.interfaces.booking.facade.dto.TrackingEvents,3,3,26,1,1.0,0,0,0,0,0,3,1.0,0,0,0.0,3,1.0,2,0,8.666666666666666,0
cargotracker,3.1-SNAPSHOT,org.eclipse.cargotracker.interfaces.booking.facade.dto.CargoStatus,7,8,64,1,1.0,1,1,0,0,0,21,1.0,0,0,0.0,7,1.0,6,0,9.142857142857142,1
cargotracker,3.1-SNAPSHOT,org.eclipse.cargotracker.interfaces.booking.facade.dto.Location,3,3,30,1,1.0,0,2,0,0,0,3,1.0,0,0,0.0,3,1.0,2,0,10.0,0
cargotracker,3.1-SNAPSHOT,org.eclipse.cargotracker.interfaces.booking.facade.dto.CargoRoute,17,21,114,1,1.0,4,5,0,0,0,136,1.0,0,0,0.0,17,1.0,8,0,6.705882352941177,2
