project_name,version,class_name,wmc,rfc,loc,max_cc,avg_cc,cbo,ca,ce,ic,cbm,lcom,lcom3,dit,noc,mfa,npm,dam,moa,cam,amc,bug
openmrs-core,3.0.0-SNAPSHOT,org.openmrs.liquibase.SchemaOnlyTuner,6,26,113,5,1.8333333333333333,20,0,0,1,6,15,1.0,1,0,0.0,1,0,0,0.4,18.833333333333332,1
openmrs-core,3.0.0-SNAPSHOT,org.openmrs.liquibase.CoreDataTuner,8,32,169,4,2.125,24,0,0,1,4,28,1.0,1,0,0.0,4,1.0,6,1.0,21.125,0
openmrs-core,3.0.0-SNAPSHOT,org.openmrs.liquibase.Main,3,5,55,1,1.0,2,0,0,0,0,3,1.0,0,0,0.0,1,0.3333333333333333,6,0.0,18.333333333333332,0
openmrs-core,3.0.0-SNAPSHOT,org.openmrs.liquibase.AbstractSnapshotTuner,14,44,232,4,2.142857142857143,30,0,0,0,12,91,1.0,0,0,0.0,4,1.0,4,0.5,16.571428571428573,2
openmrs-core,3.0.0-SNAPSHOT,org.openmrs.liquibase.MainTest,1,10,39,1,1.0,9,0,0,0,0,0,0,0,0,0.0,1,0,0,0,39.0,0
openmrs-core,3.0.0-SNAPSHOT,org.openmrs.liquibase.AbstractSnapshotTunerTest,10,34,139,3,1.2,24,0,0,0,4,45,1.0,0,0,0.0,8,1.0,5,0.0,13.9,2
openmrs-core,3.0.0-SNAPSHOT,org.openmrs.liquibase.SchemaOnlyTunerTest,8,39,189,3,1.375,31,0,0,0,0,28,1.0,0,0,0.0,8,1.0,6,0,23.625,2
openmrs-core,3.0.0-SNAPSHOT,org.openmrs.liquibase.CoreDataTunerTest,12,48,225,3,1.1666666666666667,36,0,0,0,11,66,1.0,0,0,0.0,9,0.6666666666666666,6,0.07142857142857142,18.75,2
openmrs-core,3.0.0-SNAPSHOT,liquibase.ext.sqlgenerator.core.ModifyColumnChange,12,24,107,2,1.0833333333333333,12,0,0,1,4,66,1.0,1,0,0.0,12,1.0,5,0.10526315789473684,8.916666666666666,2
openmrs-core,3.0.0-SNAPSHOT,liquibase.ext.sqlgenerator.core.ModifyColumnGenerator,8,37,197,7,2.875,29,0,0,1,5,28,1.0,1,0,0.0,3,1.0,1,0.4788732394366197,24.625,0
openmrs-core,3.0.0-SNAPSHOT,liquibase.ext.sqlgenerator.core.ModifyColumnStatement,3,3,45,1,1.0,0,0,0,1,0,3,1.0,1,0,0.0,3,1.0,3,0,15.0,0
openmrs-core,3.0.0-SNAPSHOT,liquibase.ext.datatype.core.PostgreSQLBlobType,2,5,50,2,1.5,3,0,0,1,0,1,1.0,1,0,0.0,2,1.0,1,0,25.0,0
openmrs-core,3.0.0-SNAPSHOT,liquibase.ext.datatype.core.MySQLBooleanType,2,5,50,2,1.5,3,1,0,1,0,1,1.0,1,0,0.0,2,1.0,1,0,25.0,0
openmrs-core,3.0.0-SNAPSHOT,liquibase.ext.datatype.core.PostgreSQLUuidType,2,6,50,2,1.5,4,0,0,1,0,1,1.0,1,0,0.0,2,1.0,1,0,25.0,0
openmrs-core,3.0.0-SNAPSHOT,liquibase.ext.change.core.InsertWithUuidDataChange,1,8,45,3,3.0,7,0,0,1,0,0,0,1,0,0.0,1,1.0,1,0,45.0,1
openmrs-core,3.0.0-SNAPSHOT,liquibase.ext.logging.slf4j.Slf4JLogger,1,6,54,7,7.0,5,0,0,1,0,0,0,1,0,0.0,1,1.0,1,0,54.0,0
openmrs-core,3.0.0-SNAPSHOT,liquibase.ext.logging.slf4j.Slf4JLogService,2,4,36,1,1.0,2,0,0,1,0,1,1.0,1,0,0.0,2,1.0,1,0,18.0,0
openmrs-core,3.0.0-SNAPSHOT,org.openmrs.BaseCustomizableData,6,21,130,8,3.3333333333333335,15,0,0,1,16,15,1.0,1,0,0.0,6,1.0,1,0.09090909090909091,21.666666666666668,8
openmrs-core,3.0.0-SNAPSHOT,org.openmrs.Privilege,6,7,98,1,1.0,1,16,0,1,1,15,1.0,1,0,0.0,6,0.5,1,0.0,16.333333333333332,4
openmrs-core,3.0.0-SNAPSHOT,org.openmrs.ConceptSet,19,24,203,2,1.0526315789473684,5,6,0,1,4,171,1.0,1,0,0.0,19,0.8571428571428571,6,0.046511627906976744,10.68421052631579,2
openmrs-core,3.0.0-SNAPSHOT,org.openmrs.ConceptStateConversion,11,13,160,1,1.0,2,6,0,1,2,55,1.0,1,0,0.0,11,0.8,4,0.05263157894736842,14.545454545454545,2
openmrs-core,3.0.0-SNAPSHOT,org.openmrs.OrderAttribute,6,10,70,1,1.0,4,4,0,1,2,15,1.0,1,0,0.0,6,1.0,1,0.2,11.666666666666666,2
openmrs-core,3.0.0-SNAPSHOT,org.openmrs.EncounterProvider,11,35,121,1,1.0,24,1,0,1,8,55,1.0,1,0,0.0,11,0.8,4,0.05263157894736842,11.0,0
