project_name,version,class_name,wmc,rfc,loc,max_cc,avg_cc,cbo,ca,ce,ic,cbm,lcom,lcom3,dit,noc,mfa,npm,dam,moa,cam,amc,bug
openmrs-module-reporting,2.0.0-SNAPSHOT,org.openmrs.module.reporting.ExceptionUtil,2,5,42,2,1.5,3,1,0,0,1,1,1.0,0,0,0.0,2,0,0,0.5,21.0,0
openmrs-module-reporting,2.0.0-SNAPSHOT,org.openmrs.module.reporting.IllegalDatabaseAccessException,0,0,29,0,0,0,2,0,1,0,0,0,1,0,0,0,0.0,0,0,0,0
openmrs-module-reporting,2.0.0-SNAPSHOT,org.openmrs.module.reporting.ReportingModuleActivator,7,23,89,3,1.7142857142857142,16,1,0,1,3,21,1.0,1,0,0.0,5,1.0,1,0,12.714285714285714,1
openmrs-module-reporting,2.0.0-SNAPSHOT,org.openmrs.module.reporting.ReportingConstants,18,46,240,6,2.0,28,25,0,0,12,153,1.0,0,0,0.0,14,0.08695652173913043,23,0.3333333333333333,13.333333333333334,1
openmrs-module-reporting,2.0.0-SNAPSHOT,org.openmrs.module.reporting.ReportingException,0,0,37,0,0,0,3,0,1,0,0,0,1,0,0,0,0.0,0,0,0,0
openmrs-module-reporting,2.0.0-SNAPSHOT,org.openmrs.module.reporting.common.SqlResult,9,13,69,2,1.3333333333333333,4,1,0,0,3,36,1.0,0,0,0.0,9,1.0,3,0.15384615384615385,7.666666666666667,0
openmrs-module-reporting,2.0.0-SNAPSHOT,org.openmrs.module.reporting.common.SortCriteria,5,13,150,3,2.0,8,3,0,0,3,10,1.0,0,0,0.0,5,1.0,1,0.25,30.0,0
openmrs-module-reporting,2.0.0-SNAPSHOT,org.openmrs.module.reporting.common.HibernateUtil,4,14,105,3,2.25,10,2,0,0,0,6,1.0,0,0,0.0,4,0,0,0.07142857142857142,26.25,0
openmrs-module-reporting,2.0.0-SNAPSHOT,org.openmrs.module.reporting.common.DrugOrderSet,0,0,37,0,0,0,3,0,1,0,0,0,1,0,0,0,1.0,0,0,0,0
openmrs-module-reporting,2.0.0-SNAPSHOT,org.openmrs.module.reporting.common.GroovyHelper,2,5,59,2,2.0,3,1,0,0,1,1,1.0,0,0,0.0,2,1.0,1,1.0,29.5,0
openmrs-module-reporting,2.0.0-SNAPSHOT,org.openmrs.module.reporting.common.BeanPropertyComparator,1,6,69,7,7.0,5,1,0,0,0,0,0,0,0,0.0,1,1.0,1,0,69.0,0
openmrs-module-reporting,2.0.0-SNAPSHOT,org.openmrs.module.reporting.common.ScriptingLanguage,4,7,52,7,2.5,3,6,0,0,2,6,1.0,0,0,0.0,4,1.0,1,0.0,13.0,0
openmrs-module-reporting,2.0.0-SNAPSHOT,org.openmrs.module.reporting.common.AuditInfo,27,39,183,1,1.0,12,4,0,0,10,351,1.0,0,0,0.0,24,1.0,12,0.07142857142857142,6.777777777777778,0
openmrs-module-reporting,2.0.0-SNAPSHOT,org.openmrs.module.reporting.common.ExcelUtil,20,148,588,28,5.3,128,4,0,0,18,190,1.0,0,0,0.0,20,0.5,2,0.09777777777777778,29.4,4
openmrs-module-reporting,2.0.0-SNAPSHOT,org.openmrs.module.reporting.common.NumericRange,15,25,195,3,1.3333333333333333,10,0,0,0,20,105,1.0,0,0,0.0,15,1.0,2,0.11827956989247312,13.0,0
openmrs-module-reporting,2.0.0-SNAPSHOT,org.openmrs.module.reporting.common.DelimitedKeyComparator,3,6,79,9,3.6666666666666665,3,2,0,0,0,3,1.0,0,0,0.0,3,1.0,1,0.0,26.333333333333332,1
openmrs-module-reporting,2.0.0-SNAPSHOT,org.openmrs.module.reporting.common.ObsActiveList,12,22,176,4,1.9166666666666667,10,3,0,0,2,66,1.0,0,0,0.0,12,1.0,3,0.09803921568627451,14.666666666666666,0
openmrs-module-reporting,2.0.0-SNAPSHOT,org.openmrs.module.reporting.common.Timer,2,3,45,1,1.0,1,1,0,0,0,1,1.0,0,0,0.0,2,1.0,0,0,22.5,0
openmrs-module-reporting,2.0.0-SNAPSHOT,org.openmrs.module.reporting.common.ResultSetIterator,8,21,117,4,2.375,13,2,0,0,8,28,1.0,0,0,0.0,5,1.0,5,0,14.625,0
openmrs-module-reporting,2.0.0-SNAPSHOT,org.openmrs.module.reporting.common.Birthdate,5,7,87,1,1.0,2,8,0,0,1,10,1.0,0,0,0.0,5,1.0,1,0.0,17.4,0
openmrs-module-reporting,2.0.0-SNAPSHOT,org.openmrs.module.reporting.common.Fraction,13,23,158,3,1.3076923076923077,10,4,0,1,11,78,1.0,1,0,0.0,13,0.6666666666666666,0,0.09090909090909091,12.153846153846153,0
openmrs-module-reporting,2.0.0-SNAPSHOT,org.openmrs.module.reporting.common.DateRange,17,38,234,4,1.3529411764705883,21,0,0,0,25,136,1.0,0,0,0.0,17,1.0,2,0.18110236220472442,13.764705882352942,0
openmrs-module-reporting,2.0.0-SNAPSHOT,org.openmrs.module.reporting.common.Age,10,23,144,2,1.4,13,15,0,0,12,45,1.0,0,0,0.0,10,1.0,2,0.2,14.4,0
openmrs-module-reporting,2.0.0-SNAPSHOT,org.openmrs.module.reporting.common.ObjectUtil,44,121,693,16,2.977272727272727,77,115,1,0,73,946,1.0,0,0,0.0,44,1.0,1,0.17996742671009772,15.75,3
openmrs-module-reporting,2.0.0-SNAPSHOT,org.openmrs.module.reporting.common.MessageUtil,8,18,101,2,1.25,10,10,0,0,6,28,1.0,0,0,0.0,8,1.0,2,0.24528301886792453,12.625,0
openmrs-module-reporting,2.0.0-SNAPSHOT,org.openmrs.module.reporting.common.ReflectionUtil,9,34,184,6,2.6666666666666665,25,11,0,0,6,36,1.0,0,0,0.0,9,1.0,1,0.21333333333333335,20.444444444444443,1
openmrs-module-reporting,2.0.0-SNAPSHOT,org.openmrs.module.reporting.common.ListMap,15,30,177,3,1.2,15,9,0,0,16,105,1.0,0,0,0.0,15,1.0,1,0.15555555555555556,11.8,0
openmrs-module-reporting,2.0.0-SNAPSHOT,org.openmrs.module.reporting.common.SqlRunner,21,82,391,10,2.7142857142857144,61,2,0,0,24,210,1.0,0,0,0.0,12,1.0,4,0.2646048109965636,18.61904761904762,0
openmrs-module-reporting,2.0.0-SNAPSHOT,org.openmrs.module.reporting.common.LogicUtil,2,25,133,8,6.0,23,3,0,0,1,1,1.0,0,0,0.0,2,1.0,1,1.0,66.5,0
openmrs-module-reporting,2.0.0-SNAPSHOT,org.openmrs.module.reporting.common.DateUtil,36,75,519,11,2.138888888888889,39,82,0,0,29,630,1.0,0,0,0.0,36,0.08333333333333333,1,0.37362637362637363,14.416666666666666,2
openmrs-module-reporting,2.0.0-SNAPSHOT,org.openmrs.module.reporting.common.VitalStatus,7,9,109,2,1.1428571428571428,2,5,0,0,0,21,1.0,0,0,0.0,7,1.0,3,0.0,15.571428571428571,0
openmrs-module-reporting,2.0.0-SNAPSHOT,org.openmrs.module.reporting.common.AgeRange,12,19,169,9,1.6666666666666667,7,2,0,0,2,66,1.0,0,0,0.0,12,1.0,5,0.07142857142857142,14.083333333333334,0
openmrs-module-reporting,2.0.0-SNAPSHOT,org.openmrs.module.reporting.common.ExcelBuilder,20,51,241,12,1.7,31,2,0,0,9,190,1.0,0,0,0.0,20,1.0,5,0.18867924528301888,12.05,1
openmrs-module-reporting,2.0.0-SNAPSHOT,org.openmrs.module.reporting.common.ObjectCounter,6,13,75,1,1.0,7,2,0,0,1,15,1.0,0,0,0.0,6,1.0,1,0.3333333333333333,12.5,0
openmrs-module-reporting,2.0.0-SNAPSHOT,org.openmrs.module.reporting.template.TemplateFactory,3,7,70,3,2.3333333333333335,4,2,1,0,2,3,1.0,0,0,0.0,3,1.0,2,0.42857142857142855,23.333333333333332,0
openmrs-module-reporting,2.0.0-SNAPSHOT,org.openmrs.module.reporting.template.HandlebarsHelpers,3,10,89,3,2.3333333333333335,7,0,1,0,0,3,1.0,0,0,0.0,3,1.0,2,0.42857142857142855,29.666666666666668,0
openmrs-module-reporting,2.0.0-SNAPSHOT,org.openmrs.module.reporting.calculation.ReportingCalculationUtil,2,16,68,6,4.0,14,0,0,0,0,1,1.0,0,0,0.0,2,0,0,0.0,34.0,0
openmrs-module-reporting,2.0.0-SNAPSHOT,org.openmrs.module.reporting.calculation.DataCalculation,3,4,45,1,1.0,1,0,0,1,1,3,1.0,1,0,0.0,3,1.0,1,0,15.0,0
openmrs-module-reporting,2.0.0-SNAPSHOT,org.openmrs.module.reporting.calculation.PatientDataCalculationSuggestion,2,7,67,5,3.0,5,0,0,0,6,1,1.0,0,0,0.0,2,0,0,0,33.5,0
openmrs-module-reporting,2.0.0-SNAPSHOT,org.openmrs.module.reporting.calculation.PatientDataCalculation,1,15,102,10,10.0,14,1,0,1,2,0,0,1,0,0.75,1,0,0,0,102.0,0
openmrs-module-reporting,2.0.0-SNAPSHOT,org.openmrs.module.reporting.calculation.PatientDataCalculationProvider,1,18,77,6,6.0,17,0,1,0,0,0,0,0,0,0.0,1,0,0,0,77.0,0
openmrs-module-reporting,2.0.0-SNAPSHOT,org.openmrs.module.reporting.validator.CohortDefinitionValidator,2,13,89,10,5.5,11,1,1,0,0,1,1.0,0,0,0.0,2,1.0,1,0.0,44.5,0
openmrs-module-reporting,2.0.0-SNAPSHOT,org.openmrs.module.reporting.indicator.CohortIndicatorResult,15,32,197,9,1.6,17,4,1,0,9,105,1.0,0,0,0.0,15,0.8333333333333334,5,0.058823529411764705,13.133333333333333,1
openmrs-module-reporting,2.0.0-SNAPSHOT,org.openmrs.module.reporting.indicator.BaseIndicator,2,2,51,1,1.0,0,0,0,1,0,1,1.0,1,0,0.0,2,0.5,1,0,25.5,0
openmrs-module-reporting,2.0.0-SNAPSHOT,org.openmrs.module.reporting.indicator.SimpleIndicatorResult,11,17,94,4,1.2727272727272727,6,3,1,0,10,55,1.0,0,0,0.0,11,0.8,4,0.05263157894736842,8.545454545454545,1
openmrs-module-reporting,2.0.0-SNAPSHOT,org.openmrs.module.reporting.indicator.QueryCountIndicator,2,2,45,1,1.0,0,1,0,1,0,1,1.0,1,0,0.5,2,1.0,1,0,22.5,0
